code,name,level
sp613,Arceuthobium sichuanense,LC
sp614,Arceuthobium tibetense,LC
sp615,Archakebia apetala,LC
sp616,Archiboehmeria atrata,VU
sp617,Archidendron alternifoliolatum,NT
sp618,Archidendron balansae,NT
sp619,Archidendron chevalieri,NT
sp620,Archidendron clypearia,LC
sp621,Archidendron cordifolium,CR
sp622,Archidendron eberhardtii,LC
sp623,Archidendron ellipticum,CR
sp624,Archidendron kerrii,VU
sp625,Archidendron laoticum,LC
sp626,Archidendron lucidum,LC
sp627,Archidendron robinsonii,LC
sp628,Archidendron tonkinense,LC
sp629,Archidendron turgidum,LC
sp630,Archidendron utile,LC
sp631,Arctous alpinus,LC
sp632,Arctous microphyllus,LC
sp633,Arctous ruber,LC
sp634,Ardisia alyxiifolia,LC
sp635,Ardisia argenticaulis,DD
sp636,Ardisia balansana,LC
sp637,Ardisia brevicaulis,LC
sp638,Ardisia brunnescens,LC
sp639,Ardisia carnosicaulis,LC
sp640,Ardisia caudata,LC
sp641,Ardisia chinensis,DD
sp642,Ardisia conspersa,LC
sp643,Ardisia cornudentata,LC
sp644,Ardisia corymbifera,LC
sp645,Ardisia crassinervosa,LC
sp646,Ardisia crenata,LC
sp647,Ardisia crispa,LC
sp648,Ardisia densilepidotula,LC
sp649,Ardisia ensifolia,LC
sp650,Ardisia faberi,LC
sp651,Ardisia filiformis,DD
sp652,Ardisia fordii,LC
sp653,Ardisia garrettii,LC
sp654,Ardisia gigantifolia,LC
sp655,Ardisia hanceana,LC
sp656,Ardisia humilis,LC
sp657,Ardisia japonica,LC
sp658,Ardisia lindleyana,LC
sp659,Ardisia maclurei,LC
sp660,Ardisia nigropilosa,NT
sp661,Ardisia obtusa,NT
sp662,Ardisia olivacea,LC
sp663,Ardisia omissa,LC
sp664,Ardisia ordinata,VU
sp665,Ardisia perreticulata,LC
sp666,Ardisia porifera,LC
sp667,Ardisia purpureovillosa,LC
sp668,Ardisia pusilla,LC
sp669,Ardisia quinquegona,LC
sp670,Ardisia ramondiiformis,LC
sp671,Ardisia replicata,VU
sp672,Ardisia retroflexa,NT
sp673,Ardisia scalarinervis,LC
sp674,Ardisia shweliensis,LC
sp675,Ardisia sieboldii,LC
sp676,Ardisia sinoaustralis,DD
sp677,Ardisia thyrsiflora,LC
sp678,Ardisia verbascifolia,LC
sp679,Ardisia villosa,LC
sp680,Ardisia virens,LC
sp681,Ardisia waitakii,LC
sp682,Areca catechu,DD
sp683,Areca triandra,LC
sp684,Arenga caudata,LC
sp685,Arenga micrantha,LC
sp686,Arenga westerhoutii,LC
sp687,Argyreia acuta,NT
sp688,Argyreia baoshanensis,DD
sp689,Argyreia capitiformis,LC
sp690,Argyreia cheliensis,NT
